backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.915523,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.920195,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.921534,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.924518,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.917127,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.911473,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.918586,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.926409,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.90882,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.915202,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.916592,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.923433,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.908492,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.915154,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.920745,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.907686,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.914412,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.914323,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.913372,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.918929,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.91995,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.913297,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.91393,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.926605,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.912964,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.912144,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.917587,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.915571,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.916582,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.909812,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.922223,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.319308,1.909537,1403
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.686432,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.672236,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.688445,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.692471,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.700127,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.690252,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.682474,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.72299,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.687377,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.692647,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,3.197039,5.685301,2795
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,9.411933,21.244198,4479
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,9.411933,21.041034,4479
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,9.411933,21.223381,4479
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,9.411933,21.12686,4479
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,9.411933,21.04054,4479
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,21.868094,52.339031,5998
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,21.868094,52.060422,5998
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,21.868094,52.523131,5998
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,21.868094,52.054913,5998
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,21.868094,51.936558,5998
